,source,author,title,description,url,urlToImage,publishedAt,content
10,"{'id': None, 'name': 'Livemint'}",Devansh Sharma,"Stocks to Watch: HDFC, IndusInd Bank, Adani Ports, Eicher Motors, Wipro - Livemint","HDFC has raised more than  ₹14,000 crore through a qualified institutional placement issue of equity shares, warrants and bonds.IndusInd Bank has sold a portion of the invoked pledged shares of Eveready Industries and McLeod Russel India",https://www.livemint.com/market/stock-market-news/stocks-to-watch-hdfc-indusind-bank-adani-ports-eicher-motors-wipro-11597199196124.html,https://images.livemint.com/img/2020/08/12/600x338/HDFC_1588701307015_1588701307330_1597199515321.jpg,2020-08-12T02:36:01Z,"HDFC: The country's largest mortgage lender HDFC Ltd on Tuesday announced raising more than 14,000 crore through a qualified institutional placement (QIP) issue of equity shares, warrants and bonds.… [+2400 chars]"
11,"{'id': None, 'name': 'Business Standard'}",Business Standard,MARKET LIVE: SGX Nifty signals gap-down opening for Indian indices,Catch all the live market updates here,https://www.business-standard.com/article/markets/market-live-sensex-nifty-bse-nse-sgx-nifty-covid-19-hdfc-irctc-120081200177_1.html,https://bsmedia.business-standard.com/_media/bs/img/article/2018-12/18/full/1545115407-19.jpg,2020-08-12T02:02:00Z,"The Indian markets are likely to open on a weak note today, as signalled by the SGX Nifty.  Apart from the global cues, investors may focus on stock-specific developments, especially for the ones dec… [+1133 chars]"
12,"{'id': None, 'name': 'Reportswatch.com'}",,Internet of Things (IoT) Professional Services Market | Global Opportunity Analysis And Industry Forecast 2020-2027 - Reports Watch,Internet of Things (IoT) Professional Services Market | Global Opportunity Analysis And Industry Forecast 2020-2027  Reports Watch,https://reportswatch.com/2020/08/11/internet-of-things-iot-professional-services-market-global-opportunity-analysis-and-industry-forecast-2020-2027/,,2020-08-11T07:44:00Z,"Reports And Data published a new report, titled, Internet of Things (IoT) Professional Services Market Global Opportunities Analysis and Industry Forecast.
The research offers an extensive analysis … [+5549 chars]"
13,"{'id': None, 'name': 'Bulletinline.com'}",Jennifer.grey,"Internet of Things Integration Market Size, Share, Trends, Global-Demand, Industry-Research, Future Technology Analysis and Forecast to 2020-2026 (Based on 2020 COVID-19 Worldwide Spread) - Bulletin Line","Internet of Things Integration Market Size, Share, Trends, Global-Demand, Industry-Research, Future Technology Analysis and Forecast to 2020-2026 (Based on 2020 COVID-19 Worldwide Spread)  Bulletin Line",https://bulletinline.com/2020/08/10/internet-of-things-integration-market-size-share-trends-global-demand-industry-research-future-technology-analysis-and-forecast-to-2020-2026-based-on-2020-covid-19-worldwide-spread/,,2020-08-10T06:59:00Z,"Hongchun Research has added an exhaustive research study of the Internet of Things Integration market, detailing every single market driver and intricately analyzing the business vertical. This Inter… [+12899 chars]"
14,"{'id': None, 'name': 'PRNewswire'}",,"Device Authority is Leader in SPARK Matrix™: IoT Identity and Access Management (IoT IAM), 2020 - PRNewswire","/PRNewswire/ -- Quadrant Knowledge Solutions announced today that it has named Device Authority, a leading provider of device-centric IoT IAM platform...",https://www.prnewswire.com/news-releases/device-authority-is-leader-in-spark-matrix-iot-identity-and-access-management-iot-iam-2020-301109670.html,https://mma.prnewswire.com/media/746706/Quadrant_Knowledge_Solutions_Logo.jpg?p=facebook,2020-08-11T11:00:00Z,"MIDDLETON, Mass., Aug. 11, 2020 /PRNewswire/ -- Quadrant Knowledge Solutions announced today that it has named Device Authority, a leading provider of device-centric IoT IAM platform KeyScaler, as th… [+7577 chars]"
15,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,Stock market update: IT stocks up; NIIT Tech climbs 1%,The Nifty IT index was trading 0.31 per cent at 18216.5.,https://economictimes.indiatimes.com/markets/stocks/news/stock-market-update-it-stocks-upnbsp/articleshow/77478002.cms,"https://img.etimg.com/thumb/msid-77478031,width-1070,height-580,imgsize-230633,overlay-etmarkets/photo.jpg",2020-08-11T05:37:31Z,"NEW DELHI: IT stocks were trading on a positive note at 11:12AM on Tuesday. 
Shares of MPhasis (up 3.22 per cent), NIIT Technologies (up 1.03 per cent), Wipro (up 0.9 per cent), Infosys (up 0.74 per… [+802 chars]"
16,"{'id': None, 'name': 'NDTV News'}",,"Sensex, Nifty Off Day's Lows; PSU Banks Gain, Metal, Pharma Shares Fall",The equities have seen broad-based gains in the last few sessions and the Nifty 50 had gained nearly 4 per cent over the last six sessions.,https://www.ndtv.com/business/share-market-live-updates-sensex-nifty-off-days-lows-psu-banks-gain-metal-pharma-shares-fall-2278216,https://c.ndtvimg.com/2020-03/ra3kk9p8_sensex-nifty-stock-markets-reuters_625x300_20_March_20.jpg,2020-08-12T07:14:49Z,"Eight of 11 sector gauges compiled by the National Stock Exchange were trading lower.
The S&amp;P BSE Sensex and NSE Nifty 50 indexes came off intraday low levels in noon deals while metal, pharma, … [+1676 chars]"
17,"{'id': None, 'name': 'Business Standard'}",SI Reporter,"Stocks to watch: Aurobindo Pharma, Wipro, Ashok Leyland, Eicher Motors",Here's a list of stocks that may trade actively in today's trading session.,https://www.business-standard.com/article/markets/stocks-to-watch-aurobindo-pharma-wipro-ashok-leyland-eicher-motors-120081200207_1.html,https://bsmedia.business-standard.com/_media/bs/img/article/2020-07/28/full/1595960385-5396.jpg,2020-08-12T03:27:03Z,"At 08:47 AM, Nifty futures on the Singapore Exchange (SGX) were trading 116 points or 1 per cent lower at 11,231.80, indicating a gap-down start for the Indian market on Wednesday.
Here's a list of … [+2276 chars]"
18,"{'id': None, 'name': 'Business Today'}",BusinessToday.In,"Stocks in news: HDFC, Eicher Motors, Dr Reddy, Adani Ports, JMC Projects","Stocks to watch today on August 12: HDFC, Eicher Motors, Dr Reddy, Adani Ports, JMC Projects among others are the top stocks to watch out for in Wednesday's trading session.",https://www.businesstoday.in/markets/stocks/stocks-to-watch-today-on-august-12-hdfc-eicher-motors-dr-reddy-adani-ports-jmc-projects/story/412704.html,https://akm-img-a-in.tosshub.com/sites/btmt/images/stories/bse_505_120820084716.jpg,2020-08-12T03:17:14Z,Stocks to watch today: Here is a list of top stocks that are likely to be in focus in Wednesday's trading session based on latest developments. Investors are also awaiting April-June quarter earnings… [+2400 chars]
19,"{'id': None, 'name': 'Business Standard'}",BS Web Team,"Market Ahead, Aug 12: All you need to know before the opening bell","A total of 137 companies, including Aurobindo Pharma, Ashok Leyland, and Tata Power are scheduled to announce their June quarter results today",https://www.business-standard.com/podcast/markets/market-ahead-aug-12-all-you-need-to-know-before-the-opening-bell-120081200183_1.html,https://bsmedia.business-standard.com/_media/bs/img/article/2020-03/09/full/1583754413-2476.jpg,2020-08-12T02:00:00Z,"The Indian markets will today majorly look at their global peers for market trend. The SGX Nifty was trading with around 100 point cut at 11,230 levels at 7:20 AM, signalling a weak start for the Sen… [+2835 chars]"
